,name,year,song_name,performed_by
110,Forrest Gump,1994,What the World Needs Now is Love ,Jackie DeShannon (as Jackie De Shannon) 
111,Forrest Gump,1994,Webster's Boomer ,
112,Forrest Gump,1994,"Hello, I Love You ",The Doors 
113,Forrest Gump,1994,People Are Strange ,The Doors 
114,Forrest Gump,1994,Break On Through (To the Other Side) ,The Doors 
115,Forrest Gump,1994,Mrs. Robinson ,Simon & Garfunkel 
116,Forrest Gump,1994,Volunteers ,Jefferson Airplane 
117,Forrest Gump,1994,"Hey, Joe ",The Jimi Hendrix Experience 
118,Forrest Gump,1994,Where Have All the Flowers Gone? ,
119,Forrest Gump,1994,Let's Get Together ,The Youngbloods 
120,Forrest Gump,1994,San Francisco (Be Sure to Wear Flowers in Your Hair) ,Scott McKenzie 
121,Forrest Gump,1994,"Turn, Turn, Turn! (To Everything There is a Season) ",The Byrds 
122,Forrest Gump,1994,Aquarius ,The 5th Dimension (as The Fifth Dimension) 
123,Forrest Gump,1994,Joy to the World ,Three Dog Night 
124,Forrest Gump,1994,Everybody's Talkin' ,Harry Nilsson 
125,Forrest Gump,1994,Silent Night ,
126,Forrest Gump,1994,Stoned Love ,The Supremes 
127,Forrest Gump,1994,Thanks for the Memory ,
128,Forrest Gump,1994,Love Her Madly ,The Doors 
129,Forrest Gump,1994,Let's Work Together ,Canned Heat 
130,Forrest Gump,1994,Raindrops Keep Fallin' on My Head ,B.J. Thomas 
131,Forrest Gump,1994,Tie a Yellow Ribbon 'Round the Ole Oak Tree ,Tony Orlando & Dawn (as Tony Orlando and Dawn) 
132,Forrest Gump,1994,Jesus on the Mainline ,
133,Forrest Gump,1994,Get Down Tonight ,KC & The Sunshine Band 
134,Forrest Gump,1994,Free Bird ,Lynyrd Skynyrd 
135,Forrest Gump,1994,Mr. President (Have Pity on the Working Man) ,
136,Forrest Gump,1994,My Rock ,
137,Forrest Gump,1994,Sweet Home Alabama ,Lynyrd Skynyrd 
138,Forrest Gump,1994,Plant My Feet on Higher Ground ,
139,Forrest Gump,1994,I've Got a New Home ,
140,Forrest Gump,1994,It Keeps You Runnin' ,The Doobie Brothers 
141,Forrest Gump,1994,Running On Empty ,
142,Forrest Gump,1994,I've Got to Use My Imagination ,Gladys Knight & The Pips 
143,Forrest Gump,1994,Go Your Own Way ,Fleetwood Mac 
144,Forrest Gump,1994,On The Road Again ,
145,Forrest Gump,1994,Against The Wind ,Bob Seger & The Silver Bullet Band 
146,Fight Club,1999,Coffee Shop Zak ,
147,Fight Club,1999,Svarga ,Vas 
148,Fight Club,1999,Girl From Ypsilanti ,
149,Fight Club,1999,Cafeteria ,Cezame Argile 
150,Fight Club,1999,Smoke Stack ,Junk Ferry
151,Fight Club,1999,Forbidden To Love ,
152,Fight Club,1999,Easy Smack It Up ,The Odditorium 
153,Fight Club,1999,Splended & 4M15 ,
154,Fight Club,1999,Goin' Out West ,Tom Waits 
155,Fight Club,1999,"No Love, No Nothin' ",Marlene Dietrich 
156,Fight Club,1999,Theme from Valley of the Dolls ,
157,Fight Club,1999,KDFW News Theme ,
158,Fight Club,1999,Tzigany Waltz ,
159,Fight Club,1999,Where Is My Mind ,Pixies (as The Pixies) 
160,Inception,2010,"Non, je ne Regrette rien ",Édith Piaf 
161,Inception,2010,Aboun Salehoun ,Amira Saqati 
162,The Lord of the Rings: The Two Towers,2002,Gollum's Song ,Emiliana Torrini 
163,The Lord of the Rings: The Two Towers,2002,Evenstar ,"Isabel Bayrakdarian, soprano"
164,The Lord of the Rings: The Two Towers,2002,Breath of Life ,Sheila Chandra
165,The Lord of the Rings: The Two Towers,2002,Isengard Unleashed ,Elizabeth Fraser and Ben Del Maestro
166,The Lord of the Rings: The Two Towers,2002,Farewell to Lorien ,Hilary Summers
167,Star Wars: Episode V - The Empire Strikes Back,1980,Not available,
168,The Matrix,1999,Dissolved Girl ,Massive Attack 
169,The Matrix,1999,Dragula (Hot Rod Herman Mix) ,Rob Zombie 
170,The Matrix,1999,Leave You Far Behind (Lunatics Roller Coaster Mix) ,Lunatic Calm 
171,The Matrix,1999,Mindfields ,The Prodigy (as Prodigy) 
172,The Matrix,1999,Prime Audio Soup ,Meat Beat Manifesto 
173,The Matrix,1999,Clubbed To Death (Kurayamino Mix) ,Rob Dougan (as Rob D) 
174,The Matrix,1999,Minor Swing ,Django Reinhardt 
175,The Matrix,1999,Begin the Run ,
176,The Matrix,1999,I'm Beginning to See the Light ,Duke Ellington 
177,The Matrix,1999,Spybreak (Short One) ,Propellerheads 
178,The Matrix,1999,Wake Up ,Rage Against the Machine 
179,The Matrix,1999,Rock is Dead ,Marilyn Manson 
180,Goodfellas,1990,Rags to Riches ,Tony Bennett 
181,Goodfellas,1990,Can't We Be Sweethearts ,The Cleftones 
182,Goodfellas,1990,Hearts of Stone ,Otis Williams and The Charms 
183,Goodfellas,1990,Sincerely ,The Moonglows 
184,Goodfellas,1990,Firenze Sogna ,Giuseppe Di Stefano 
185,Goodfellas,1990,Speedo ,The Cadillacs 
186,Goodfellas,1990,Parlami d'Amore Mariù ,Giuseppe Di Stefano 
187,Goodfellas,1990,Stardust ,Billy Ward's Dominoes (as Billy Ward and His Dominoes) 
188,Goodfellas,1990,This World We Live In ,Mina 
189,Goodfellas,1990,Playboy ,The Marvelettes 
190,Goodfellas,1990,It's Not for Me to Say ,Johnny Mathis 
191,Goodfellas,1990,I Will Follow Him ,Betty Curtis 
192,Goodfellas,1990,Then He Kissed Me ,The Crystals 
193,Goodfellas,1990,Look in My Eyes ,The Chantels 
194,Goodfellas,1990,Roses are Red ,Bobby Vinton 
195,Goodfellas,1990,Life is But a Dream ,The Harptones 
196,Goodfellas,1990,Leader of the Pack ,The Shangri-Las 
197,Goodfellas,1990,"Toot, Toot, Tootsie (Goo' Bye!) ",Al Jolson 
198,Goodfellas,1990,Happy Birthday to You ,
199,Goodfellas,1990,Ain't That a Kick in the Head ,Dean Martin 
200,Goodfellas,1990,He's Sure the Boy I Love ,The Crystals 
201,Goodfellas,1990,Atlantis ,Donovan 
202,Goodfellas,1990,Pretend You Don't See Her ,Jerry Vale 
203,Goodfellas,1990,Remember (Walkin' in the Sand) ,The Shangri-Las 
204,Goodfellas,1990,Baby I Love You ,Aretha Franklin 
205,Goodfellas,1990,Beyond the Sea ,Bobby Darin 
206,Goodfellas,1990,The Boulevard of Broken Dreams ,Tony Bennett 
207,Goodfellas,1990,Gimme Shelter ,The Rolling Stones 
208,Goodfellas,1990,Wives and Lovers ,Jack Jones 
209,Goodfellas,1990,Monkey Man ,The Rolling Stones 
210,Goodfellas,1990,Frosty the Snow Man ,The Ronettes 
211,Goodfellas,1990,Christmas (Baby Please Come Home) ,Darlene Love 
212,Goodfellas,1990,Bells of St. Mary's ,The Drifters 
213,Goodfellas,1990,Unchained Melody ,Vito and The Salutations 
214,Goodfellas,1990,Danny Boy ,
215,Goodfellas,1990,Sunshine of Your Love ,Cream 
216,Goodfellas,1990,Layla ,Derek & The Dominos (as Derek and The Dominos) 
217,Goodfellas,1990,Jump into the Fire ,Harry Nilsson 
218,Goodfellas,1990,Memo from Turner ,Mick Jagger [incorrectly attributed to The Rolling Stones] 
219,Goodfellas,1990,Magic Bus ,The Who 
220,Goodfellas,1990,What Is Life ,George Harrison 
221,Goodfellas,1990,Mannish Boy ,Muddy Waters 
222,Goodfellas,1990,My Way ,Sid Vicious 
223,One Flew Over the Cuckoo's Nest,1975,Charmaine ,
224,One Flew Over the Cuckoo's Nest,1975,The Star Spangled Banner ,
225,One Flew Over the Cuckoo's Nest,1975,I'm Popeye the Sailor Man ,
226,One Flew Over the Cuckoo's Nest,1975,"Row, Row, Row Your Boat ",
227,One Flew Over the Cuckoo's Nest,1975,Jingle Bells ,
228,One Flew Over the Cuckoo's Nest,1975,White Christmas ,
229,Se7en,1995,Closer (Precursor) ,Nine Inch Nails 
230,Se7en,1995,El Michoacano ,El Mariachi Tepalcatepec 
231,Se7en,1995,"Suite No. 3 in D Major, BWV 1068 Air ",Stuttgarter Kammerorchester / Karl Münchinger (as Karl Muchinger) 
232,Se7en,1995,Trouble Man ,Marvin Gaye 
233,Se7en,1995,"Straight, No Chaser ",Thelonious Monk 
234,Se7en,1995,Now's the Time ,Charlie Parker 
235,Se7en,1995,Gypsy Csardas ,
236,Se7en,1995,The Fourth Man ,
237,Se7en,1995,Love Plus One ,Haircut 100 
238,Se7en,1995,I Cover the Waterfront ,Billie Holiday 
239,Se7en,1995,Lust ,
240,Se7en,1995,In the Beginning ,The Statler Brothers 
241,Se7en,1995,Guilty ,Gravity Kills 
242,Se7en,1995,Speaking of Happiness ,Gloria Lynne 
243,Se7en,1995,The Hearts Filthy Lesson ,David Bowie 
244,Seven Samurai,1954,Not available,
245,It's a Wonderful Life,1946,Buffalo Gal (Won't You Come Out Tonight) ,
246,It's a Wonderful Life,1946,Adeste Fidelis (O Come All Ye Faithful) ,
247,It's a Wonderful Life,1946,"Twinkle, Twinkle, Little Star ",
248,It's a Wonderful Life,1946,Charleston ,
249,It's a Wonderful Life,1946,My Wild Irish Rose ,Thomas Mitchell
250,It's a Wonderful Life,1946,Avalon ,
251,It's a Wonderful Life,1946,Wedding March ,
252,It's a Wonderful Life,1946,The Stars and Stripes Forever ,"George, Tilly, and Eustace"
253,It's a Wonderful Life,1946,Song of the Islands ,
254,It's a Wonderful Life,1946,I Love You Truly ,Ward Bond and Frank Faylen
255,It's a Wonderful Life,1946,"This Is the Army, Mr. Jones ",
256,It's a Wonderful Life,1946,When Johnny Comes Marching Home ,
257,It's a Wonderful Life,1946,Hark! The Herald Angels Sing ,Carol Coombs
258,It's a Wonderful Life,1946,"Vieni, Vieni ",
259,It's a Wonderful Life,1946,King Porter Stomp ,
260,It's a Wonderful Life,1946,Auld Lang Syne ,
261,It's a Wonderful Life,1946,O Sole Mio ,
262,It's a Wonderful Life,1946,The Best Things in Life are Free ,
263,The Silence of the Lambs,1991,American Girl ,Tom Petty & The Heartbreakers (as Tom Petty and the Heartbreakers) 
264,The Silence of the Lambs,1991,Alone ,Colin Newman 
265,The Silence of the Lambs,1991,Sunny Day ,Book of Love 
266,The Silence of the Lambs,1991,Real Men ,Savage Republic 
267,The Silence of the Lambs,1991,Goldberg Variations ,Jerry Zimmerman 
268,The Silence of the Lambs,1991,Goodbye Horses ,Q. Lazzarus 
269,The Silence of the Lambs,1991,Hip Priest ,The Fall 
270,The Silence of the Lambs,1991,Lanmò Nan Zile A ,
271,The Silence of the Lambs,1991,Rock of Ages ,
272,The Silence of the Lambs,1991,The Magic Flute ,
273,Saving Private Ryan,1998,Solitude ,
274,Saving Private Ryan,1998,Tu es Partout ,Édith Piaf 
275,Saving Private Ryan,1998,C'était une Histoire d'Amour ,Édith Piaf 
276,City of God,2002,Alvorada ,Cartola Peer Music do Brasil Edições Musicais Ltda 
277,City of God,2002,Azul da Cor do Mar ,Tim Maia Warner Chappell Edições Musicais Ltda 
278,City of God,2002,Dance Across the Floor ,Jimmy 'Bo' Horne EMI Music Ltda Div. Itaipu / EMI Longitude Music / Harrick Music
279,City of God,2002,Get Up I Feel Like Being Like (Sex Machine) ,James Brown Dynatone Publishing Company 
280,City of God,2002,Hold Back the Water ,Bachman-Turner Overdrive Sony Music Edições Musicais Ltda 
281,City of God,2002,Hot Pants Road ,JB's Dynatone Publishing Company 
282,City of God,2002,Kung Fu Fighting ,Carl Douglas Schacht Music Inc. / Editora Femata / Sanctuary Records Group Inc.
283,City of God,2002,Magrelinha ,Luiz Melodia Warner Chappell Edições Musicais Ltda 
284,City of God,2002,Metamorfose Ambulante ,Raul Seixas Warner Chappell Edições Musicais Ltda 
285,City of God,2002,"Na Rua, Na Chuva, Na Fazenda (Casinha de Sapê) ",Hyldon Warner Chappell Edições Musicais Ltda 
286,City of God,2002,Nem Vem Que Não Tem ,Wilson Simonal Editora Fermata / Edclave Edições Clave Ltda (c) 1967 
287,City of God,2002,O Caminho Do Bem ,Tim Maia Seroma Produções e Edições Musicais Ltda / Vitória Régia Discos Ltda
288,City of God,2002,Preciso Me Encontrar ,Cartola BMG Music Publishing Brasil 
289,City of God,2002,So Very Hard to Go ,Tower of Power Bob-a-Lew Music / Arika Music 
290,Life Is Beautiful,1997,Marcia Reale ,
291,Life Is Beautiful,1997,Belle nuit (Barcarolle) ,"Montserrat Caballé (as M. Caballé), soprano and Shirley Verrett (as S. Verret), mezzo-soprano "
292,The Green Mile,1999,Charmaine ,Mantovani 
293,The Green Mile,1999,Cheek to Cheek ,Fred Astaire 
294,The Green Mile,1999,Old Fashioned Love ,Eddy Howard 
295,The Green Mile,1999,Old Alabama ,B.B. and Group 
296,The Green Mile,1999,I Can't Give You Anything But Love ,Billie Holiday 
297,The Green Mile,1999,Star Dust ,Eddy Howard 
298,The Green Mile,1999,Three Little Words ,Duke Ellington 
299,The Green Mile,1999,Did You Ever See a Dream Walking ,Gene Austin 
300,The Green Mile,1999,Wrap Your Troubles in Dreams (And Dream Your Troubles Away) ,Eddy Howard 
301,The Green Mile,1999,Charmaine ,Guy Lombardo and The Royal Canadians (as His Royal Canadians) 
302,Star Wars,1977,Not available,
303,Interstellar,2014,Do Not Go Gentle Into that Good Night ,
304,Terminator 2: Judgment Day,1991,You Could Be Mine ,Guns N' Roses 
305,Terminator 2: Judgment Day,1991,Bad to the Bone ,George Thorogood & The Destroyers (as George Thorogood and The Destroyers) 
306,Terminator 2: Judgment Day,1991,"Guitars, Cadillacs ",
307,Back to the Future,1985,THE POWER OF LOVE ,Huey Lewis & The News (as Huey Lewis and The News) 
308,Back to the Future,1985,BACK IN TIME ,Huey Lewis & The News (as Huey Lewis and The News) 
309,Back to the Future,1985,HEAVEN IS ONE STEP AWAY ,Eric Clapton 
310,Back to the Future,1985,TIME BOMB TOWN ,Lindsey Buckingham 
311,Back to the Future,1985,MR. SANDMAN ,The Four Aces (as Four Aces) 
312,Back to the Future,1985,THE BALLAD OF DAVY CROCKETT ,Fess Parker 
313,Back to the Future,1985,THE WALLFLOWER (DANCE WITH ME HENRY) ,Etta James 
314,Back to the Future,1985,Out The Window ,
315,Back to the Future,1985,NIGHT TRAIN ,"Harry Waters Jr. (as Marvin Berry) and (Tommy Thomas, Granville 'Danny' Young, David Harold Brown, and Lloyd L. Tolbert) (as The Starlighters) "
316,Back to the Future,1985,PLEDGING MY LOVE ,Johnny Ace 
317,Back to the Future,1985,EARTH ANGEL (WILL YOU BE MINE) ,"Harry Waters Jr. (as Marvin Berry) and (Tommy Thomas, Granville 'Danny' Young, David Harold Brown, and Lloyd L. Tolbert) (as The Starlighters) "
318,Back to the Future,1985,JOHNNY B. GOODE ,
319,Back to the Future,1985,Out The Window ,
320,Spirited Away,2001,Ano natsu e ,
321,Spirited Away,2001,Tôri michi ,
322,Spirited Away,2001,Daremoinai ryôri-ten ,
323,Spirited Away,2001,Yoru kuru ,
324,Spirited Away,2001,Ryû no shônen ,
325,Spirited Away,2001,Boirâ mushi ,
326,Spirited Away,2001,Kamisama-tachi ,
327,Spirited Away,2001,Yubâba ,
328,Spirited Away,2001,Yuya no asa ,
329,Spirited Away,2001,Ano hi no kawa ,
330,Spirited Away,2001,Shigoto wa tsurai ze ,
331,Spirited Away,2001,Okusare-gami ,
332,Spirited Away,2001,Sen no yûki ,
333,Spirited Away,2001,Sokonashi ana ,
334,Spirited Away,2001,Kaonashi ,
335,Spirited Away,2001,6-Banme no eki ,
336,Spirited Away,2001,Yubâba kyôran ,
337,Spirited Away,2001,Numa no soko no ie ,
338,Spirited Away,2001,Futatabi ,
339,Spirited Away,2001,Kaeru hi ,
340,Spirited Away,2001,Itsumo Nando-demo ,
341,Spirited Away,2001,Paradise ,Natural and Ben Bledsoe 
342,Psycho,1960,Not available,
343,Léon: The Professional,1994,Shape Of My Heart ,Sting 
344,Léon: The Professional,1994,The Experience of Love ,Éric Serra
345,Léon: The Professional,1994,Venus As A Boy ,Björk 
346,Léon: The Professional,1994,I Like Myself ,Gene Kelly (uncredited)
347,Léon: The Professional,1994,Like a Virgin ,Natalie Portman (uncredited)
348,Léon: The Professional,1994,Happy Birthday ,Natalie Portman (uncredited)
349,Léon: The Professional,1994,Singing in the Rain ,Natalie Portman (uncredited)
350,The Pianist,2002,"Nocturne in C# Minor, Posthumous ",
351,The Pianist,2002,"Grande Polonaise Brillante, Op. 22 - Allegro Molto ",
352,The Pianist,2002,"Ballad No. 1 in G Minor, Op. 23 ",
353,The Pianist,2002,"Sonata No. 14 in C# Minor, Op. 27/2: 'Mondscheinsonate' ",
354,The Pianist,2002,Suite No. 1 BWV 1007 for Solo Cello ,Jerzy Wolochowicz
355,The Pianist,2002,"Tantz, Tantz Yidelekh ",The Burning Bush
356,The Pianist,2002,Umowilem sie z nia na dziewiata ,
357,The Pianist,2002,Marsz Strzelcow ,
358,The Pianist,2002,Polish National Anthem ,
359,Parasite,2019,"Rodelinda: Act 2 - Spietati, io vi giurai ",
360,Parasite,2019,In Ginocchio Da Te ,Gianni Morandi Sony Music
361,Parasite,2019,A Glass of Soju ,Choi Woo-sik (as Choi Woo Shik)
362,The Lion King,1994,Circle of Life ,Carmen Twillie 
363,The Lion King,1994,Nants' Ingonyama ,Lebo M.
364,The Lion King,1994,I Just Can't Wait to Be King ,
365,The Lion King,1994,The Morning Report ,Evan Saucedo and Jeff Bennett (Special Edition only)
366,The Lion King,1994,Be Prepared ,
367,The Lion King,1994,Hakuna Matata ,"Nathan Lane, Ernie Sabella, Jason Weaver, and Joseph Williams Background Singer: Rodney Saulsberry (uncredited)"
368,The Lion King,1994,Can You Feel the Love Tonight ,"Nathan Lane, Ernie Sabella, Sally Dworsky, Joseph Williams, and Kristle Murden"
369,The Lion King,1994,The Lion Sleeps Tonight ,
370,The Lion King,1994,It's a Small World ,
371,The Lion King,1994,I've Got a Lovely Bunch of Coconuts ,
372,The Lion King,1994,Hawaiian War Chant ,Nathan Lane (uncredited)
373,The Lion King,1994,Can You Feel the Love Tonight (End Title) ,"Elton John Piano: Elton John Guitar: Davey Johnstone Drums: Chuck Sabo Bass: Phil Spalding Background vocals: Rick Astley, Gary Barlow, Kiki Dee, Robert Englund, Davey Johnstone, and the London Symphony Chorus "
374,The Lion King,1994,Nobody Knows the Trouble I've Seen ,
375,The Lion King,1994,Eluring ,Silvi Vrait
376,The Lion King,1994,Eluring (Circle of Life Estonian Version) ,Silvi Vrait
377,Gladiator,2000,Pavor ,Synaulia 
378,Gladiator,2000,Etruria ,Synaulia 
379,Gladiator,2000,Now We Are Free ,
380,American History X,1998,Battle Hymn of the Republic ,
381,American History X,1998,The White Man Marches On ,
382,The Usual Suspects,1995,Le sons et les parfums tournent dans l'air du soir ,Jon Kull 
383,The Usual Suspects,1995,Steppin' Out ,Paul Nelson 
384,The Usual Suspects,1995,Old MacDonald Had a Farm ,
385,The Departed,2006,Gimme Shelter ,The Rolling Stones 
386,The Departed,2006,Minstrel Boy ,the N.Y.P.D. Emerald Society Pipes and Drums (as NYPD Emerald Society Pipes and Drums)
387,The Departed,2006,Scotland the Brave ,the N.Y.P.D. Emerald Society Pipes and Drums (as NYPD Emerald Society Pipes and Drums)
388,The Departed,2006,I'm Shipping Up to Boston ,Dropkick Murphys (as The Dropkick Murphys) 
389,The Departed,2006,Thief's Theme ,The Incredible Bongo Band 
390,The Departed,2006,One Way Out ,The Allman Brothers Band 
391,The Departed,2006,Nobody But Me ,The Human Beinz 
392,The Departed,2006,Let it Loose ,The Rolling Stones 
393,The Departed,2006,Sweet Dreams ,Patsy Cline 
394,The Departed,2006,"Well, Well, Well ",John Lennon 
395,The Departed,2006,Bang Bang ,Joe Cuba 
396,The Departed,2006,"Sail On, Sailor ",The Beach Boys 
397,The Departed,2006,Sancta Maria ,
398,The Departed,2006,Baby Blue ,Badfinger 
399,The Departed,2006,"Chi mi frena (Sextet, Act 2) ","Daniela Lojarro, Gisella Pasino, Giuseppe Sabbatini, Michael Knapp, Michele Pertusi, Marco Chingari "
